month_number,years,year_number,month_in_year,monthly_rent,cumulative_rent,cumulative_buying_costs,monthly_payment,monthly_interest,cumulative_principal_remaining,cumulative_equity,cumulative_payment,cumulative_interest,house_value,cumulative_appreciation,cumulative_depreceation,house_value_yearly,monthly_utilities,cumulative_utilities,monthly_property_tax,cumulative_property_tax,monthly_maintenance,cumulative_maintenance,cumulative_selling_costs,cumulative_rent_cost,cumulative_home_cost
26,2.1666666666666665,3,2,1565.7591724406288,39881.6449324546,8000,738.9715764168783,443.0432801906921,132617.05576098146,17382.944239018543,19213.260986838835,11830.316747819916,156575.91724406288,6575.917244062875,-6575.917244062875,159181.2,313.15183448812576,7976.328986490919,331.6275,8389.755,417.535779317501,10635.105315321227,10960.314207084402,39881.6449324546,51215.90301265359
27,2.25,3,3,1568.3451510131417,41449.99008346774,8000,738.9715764168783,442.0568525366049,132320.1410371012,17679.858962898812,19952.232563255715,12272.373600356519,156834.51510131417,6834.515101314173,-6834.515101314173,159181.2,313.66903020262833,8289.998016693547,331.6275,8721.3825,418.22537360350447,11053.33068892473,10978.416057091994,41449.99008346774,52480.98576175262
28,2.3333333333333335,3,4,1570.9354005395123,43020.92548400725,8000,738.9715764168783,441.0671367903373,132022.23659747466,17977.763402525336,20691.20413967259,12713.440737146857,157093.54005395123,7093.540053951234,-7093.540053951234,159181.2,314.1870801079025,8604.18509680145,331.6275,9053.01,418.91610681053663,11472.246795735267,10996.547803776586,43020.92548400725,53745.89037950892
29,2.4166666666666665,3,5,1573.529928073568,44594.45541208082,8000,738.9715764168783,440.0741219915822,131723.33914304938,18276.66085695062,21430.17571608947,13153.514859138439,157352.9928073568,7352.992807356786,-7352.992807356786,159181.2,314.7059856147136,8918.891082416165,331.6275,9384.6375,419.6079808196181,11891.854776554885,11014.709496514974,44594.45541208082,55010.61490726768
30,2.5,3,6,1576.128740680786,46170.58415276161,8000,738.9715764168783,439.07779714349795,131423.445363776,18576.554636224,22169.14729250635,13592.592656281937,157612.87406807858,7612.874068078585,-7612.874068078585,159181.2,315.22574813615716,9234.11683055232,331.6275,9716.265,420.30099751487626,12312.15577406976,11032.9011847655,46170.58415276161,56275.157377590935
31,2.5833333333333335,3,7,1578.7318454383133,47749.31599819992,8000,738.9715764168783,438.0781512125867,131122.55193857173,18877.448061428266,22908.118868923226,14030.670807494524,157873.18454383133,7873.184543831332,-7873.184543831332,159181.2,315.7463690876627,9549.863199639984,331.6275,10047.8925,420.9951587835502,12733.150932853312,11051.122918068193,47749.31599819992,57539.51581422469
32,2.6666666666666665,3,8,1581.339249434985,49330.6552476349,8000,738.9715764168783,437.0751731285725,130820.65553528343,19179.344464716574,23647.090445340105,14467.745980623096,158133.9249434985,8133.92494349851,-8133.92494349851,159181.2,316.26784988699706,9866.13104952698,331.6275,10379.52,421.69046651599604,13154.841399369308,11069.374746044896,49330.6552476349,58803.688232065775
33,2.75,3,9,1583.9509597713445,50914.60620740625,8000,738.9715764168783,436.06885178427814,130517.75281065081,19482.24718934919,24386.062021756985,14903.814832407374,158395.09597713445,8395.09597713445,-8395.09597713445,159181.2,316.7901919542689,10182.92124148125,331.6275,10711.1475,422.38692260569184,13577.228321974999,11087.65671839941,50914.60620740625,60067.672637128584
34,2.8333333333333335,3,10,1586.5669835596614,52501.173190965914,8000,738.9715764168783,435.05917603550273,130213.84041026943,19786.159589730567,25125.03359817386,15338.874008442877,158656.69835596613,8656.698355966131,-8656.698355966131,159181.2,317.3133967119323,10500.234638193182,331.6275,11042.775,423.08452894924307,14000.312850924243,11105.968884917627,52501.173190965914,61331.467026511804
35,2.9166666666666665,3,11,1589.1873279239524,54090.360518889865,8000,738.9715764168783,434.04613470089816,129908.91496855345,20091.08503144655,25864.00517459074,15772.920143143776,158918.73279239523,8918.732792395225,-8918.732792395225,159181.2,317.8374655847905,10818.072103777973,331.6275,11374.4025,423.7832874463873,14424.09613837063,11124.311295467667,54090.360518889865,62595.06938836482
36,3,3,12,1591.8120000000001,55682.17251888986,8000,738.9715764168783,433.02971656184485,129602.97310869841,20397.02689130159,26602.97675100762,16205.94985970562,159181.2,9181.200000000012,-9181.200000000012,159181.2,318.36240000000004,11136.434503777973,331.6275,11706.03,424.48320000000007,14848.57933837063,11142.684000000001,55682.17251888986,63858.47770185421
37,3.0833333333333335,4,1,1594.4410069353723,57276.61352582523,8000,738.9715764168783,432.00991036232807,129296.01144264385,20703.988557356148,27341.948327424496,16637.959770067948,159444.1006935372,9444.100693537213,-9444.100693537213,162364.824,318.88820138707445,11455.322705165047,338.26005000000004,12044.29005,425.1842685160993,15273.763606886729,11161.087048547606,57276.61352582523,65128.32248713012
38,3.1666666666666665,4,2,1597.0743558894417,58873.68788171468,8000,738.9715764168783,430.9867048088129,128988.02657103579,21011.973428964207,28080.919903841375,17068.94647487676,159707.43558894415,9707.43558894415,-9707.43558894415,162364.824,319.4148711778883,11774.737576342935,338.26005000000004,12382.5501,425.8864949038511,15699.650101790581,11179.520491226089,58873.68788171468,66397.96915529222
39,3.25,4,3,1599.7120540334047,60473.39993574808,8000,738.9715764168783,429.96008857011935,128679.01508318904,21320.984916810965,28819.891480258255,17498.90656344688,159971.2054033405,9971.205403340486,-9971.205403340486,162364.824,319.942410806681,12094.679987149617,338.26005000000004,12720.81015,426.5898810755746,16126.239982866155,11197.984378233834,60473.39993574808,67667.41565835601
40,3.3333333333333335,4,4,1602.3541085503027,62075.75404429839,8000,738.9715764168783,428.9300502772968,128368.97355704945,21631.026442950548,29558.86305667513,17927.836613724176,160235.41085503026,10235.410855030263,-10235.410855030263,162364.824,320.47082171006053,12415.150808859677,338.26005000000004,13059.0702,427.29442894674736,16553.534411812903,11216.47875985212,62075.75404429839,68936.65993921862
41,3.4166666666666665,4,5,1605.0005266350393,63680.75457093342,8000,738.9715764168783,427.8965785234982,128057.89855915608,21942.101440843922,30297.83463309201,18355.733192247677,160500.05266350394,10500.052663503942,-10500.052663503942,162364.824,321.0001053270079,12736.150914186685,338.26005000000004,13397.33025,428.0001404360105,16981.53455224891,11235.003686445276,63680.75457093342,70205.69993162461
42,3.5,4,6,1607.6513154944016,65288.40588642783,8000,738.9715764168783,426.8596618638536,127745.78664460305,22254.213355396947,31036.80620950889,18782.592854111528,160765.13154944015,10765.13154944015,-10765.13154944015,162364.824,321.5302630988803,13057.681177285565,338.26005000000004,13735.5903,428.70701746517375,17410.241569714086,11253.55920846081,65288.40588642783,71474.53356013184
43,3.5833333333333335,4,7,1610.3064823470797,66898.71236877491,8000,738.9715764168783,425.81928881534355,127432.63435700152,22567.365642998484,31775.777785925766,19208.412142926874,161030.64823470797,11030.648234707973,-11030.648234707973,162364.824,322.06129646941594,13379.74247375498,338.26005000000004,14073.85035,429.41506195922125,17839.656631673308,11272.145376429558,66898.71236877491,72743.15874007676
44,3.6666666666666665,4,8,1612.966034423685,68511.67840319859,8000,738.9715764168783,424.77544785667175,127118.43822844132,22881.561771558685,32514.749362342645,19633.187590783546,161296.6034423685,11296.603442368505,-11296.603442368505,162364.824,322.593206884737,13702.335680639719,338.26005000000004,14412.1104,430.124275846316,18269.780907519624,11290.762240965794,68511.67840319859,74011.57337754019
45,3.75,4,9,1615.6299789667712,70127.30838216536,8000,738.9715764168783,423.7281274281377,126803.19477945258,23196.805220547423,33253.72093875952,20056.915718211683,161562.99789667712,11562.997896677116,-11562.997896677116,162364.824,323.12599579335426,14025.461676433073,338.26005000000004,14750.37045,430.8346610578057,18700.61556857743,11309.409852767398,70127.30838216536,75279.77536931247
46,3.8333333333333335,4,10,1618.2983232308547,71745.60670539622,8000,738.9715764168783,422.67731593150864,126486.9005189672,23513.099481032797,33992.6925151764,20479.593034143192,161829.8323230855,11829.832323085488,-11829.832323085488,162364.824,323.65966464617094,14349.121341079242,338.26005000000004,15088.630500000001,431.54621952822794,19132.16178810566,11328.088262615984,71745.60670539622,76547.7626028586
47,3.9166666666666665,4,11,1620.9710744824315,73366.57777987864,8000,738.9715764168783,421.6230017298907,126169.55194428022,23830.448055719782,34731.66409159328,20901.21603587308,162097.10744824316,12097.107448243158,-12097.107448243158,162364.824,324.1942148964863,14673.315555975729,338.26005000000004,15426.89055,432.2589531953151,19564.42074130097,11346.797521377022,73366.57777987864,77815.53295628364
48,4,4,12,1623.64824,74990.22601987865,8000,738.9715764168783,420.5651731476008,125851.14554101093,24148.854458989066,35470.63566801016,21321.781209020683,162364.824,12364.823999999993,-12364.823999999993,162364.824,324.729648,14998.04520397573,338.26005000000004,15765.1506,432.972864,19997.39360530097,11365.53768,74990.22601987865,79083.08429829738
49,4.083333333333333,5,1,1626.3298270740797,76616.55584695273,8000,738.9715764168783,419.5038184700365,125531.6777830641,24468.322216935907,36209.60724442704,21741.285027490718,162632.98270740797,12632.982707407966,-12632.982707407966,165612.12048,325.2659654148159,15323.311169390545,345.025251,16110.175851,433.68795388642127,20431.081559187394,11384.308789518556,76616.55584695273,80357.17968917926
50,4.166666666666667,5,2,1629.0158430072302,78245.57168995996,8000,738.9715764168783,418.438925943547,125211.14513259075,24788.854867409245,36948.57882084391,22159.723953434266,162901.584300723,12901.584300723014,-12901.584300723014,165612.12048,325.80316860144603,15649.114337991992,345.025251,16455.201102,434.4042248019281,20865.485783989323,11403.110901050612,78245.57168995996,81631.05177774318
51,4.25,5,3,1631.7062951140729,79877.27798507403,8000,738.9715764168783,417.37048377530255,124889.54403994918,25110.455960050822,37687.55039726079,22577.09443720957,163170.62951140729,13170.629511407285,-13170.629511407285,165612.12048,326.34125902281454,15975.455597014807,345.025251,16800.226353000002,435.1216786970861,21300.607462686407,11421.944065798509,79877.27798507403,82904.698404302
52,4.333333333333333,5,4,1634.4011907213087,81511.67917579533,8000,738.9715764168783,416.29848013316393,124566.87094366546,25433.12905633454,38426.52197367767,22993.39291734273,163440.11907213088,13440.119072130881,-13440.119072130881,165612.12048,326.88023814426174,16302.335835159069,345.025251,17145.251604,435.84031752568234,21736.44778021209,11440.808335049162,81511.67917579533,84178.11739963217
53,4.416666666666667,5,5,1637.1005371677402,83148.77971296308,8000,738.9715764168783,415.2229031455516,124243.12227039413,25756.87772960587,39165.49355009455,23408.615820488285,163710.053716774,13710.053716774011,-13710.053716774011,165612.12048,327.420107433548,16629.755942592616,345.025251,17490.276855,436.56014324473074,22173.007923456822,11459.70376017418,83148.77971296308,85451.30658493789
54,4.5,5,6,1639.8043418042896,84788.58405476737,8000,738.9715764168783,414.1437409013138,123918.29443487857,26081.705565121432,39904.46512651143,23822.759561389597,163980.43418042897,13980.434180428972,-13980.434180428972,165612.12048,327.96086836085794,16957.716810953472,345.025251,17835.302106,437.28115781447724,22610.289081271298,11478.630392630028,84788.58405476737,86724.26377181543
55,4.583333333333333,5,7,1642.5126119940212,86431.09666676138,8000,738.9715764168783,413.06098144959526,123592.38383991129,26407.616160088714,40643.43670292831,24235.820542839192,164251.2611994021,14251.261199402099,-14251.261199402099,165612.12048,328.5025223988042,17286.219333352277,345.025251,18180.327357000002,438.0033631984056,23048.292444469706,11497.588283958146,86431.09666676138,87996.98676221722
56,4.666666666666667,5,8,1645.2253551121585,88076.32202187355,8000,738.9715764168783,411.9746127997043,123265.38687629411,26734.613123705887,41382.40827934518,24647.795155638898,164522.53551121586,14522.535511215858,-14522.535511215858,165612.12048,329.0450710224317,17615.26440437471,345.025251,18525.352608,438.72676136324225,23487.019205832945,11516.57748578511,88076.32202187355,89269.4733484158
57,4.75,5,9,1647.942578546107,89724.26460041966,8000,738.9715764168783,410.8846229209804,122937.29992279821,27062.700077201793,42121.37985576206,25058.67977855988,164794.25785461068,14794.257854610682,-14794.257854610682,165612.12048,329.5885157092214,17944.85292008393,345.025251,18870.377859,439.45135427896184,23926.47056011191,11535.598049822747,89724.26460041966,90541.72131296778
58,4.833333333333333,5,10,1650.6642896954716,91374.92889011513,8000,738.9715764168783,409.79099974266074,122608.11934612399,27391.88065387601,42860.35143217894,25468.470778302537,165066.42896954715,15066.428969547153,-15066.428969547153,165612.12048,330.1328579390943,18274.985778023027,345.025251,19215.40311,440.1771439187924,24366.6477040307,11554.650027868302,91374.92889011513,91813.72842867741
59,4.916666666666667,5,11,1653.39049597208,93028.31938608721,8000,738.9715764168783,408.6937311537467,122277.84150086086,27722.158499139143,43599.32300859582,25877.164509456285,165339.049597208,15339.04959720801,-15339.04959720801,165612.12048,330.678099194416,18605.66387721744,345.025251,19560.428361000002,440.90413225922134,24807.55183628992,11573.733471804562,93028.31938608721,93085.4924585602
60,5,5,12,1656.1212048,94684.44059088721,8000,738.9715764168783,407.59280500286957,121946.46272944685,28053.537270553148,44338.2945850127,26284.757314459155,165612.12048,15612.120480000012,-15612.120480000012,165612.12048,331.22424096000003,18936.88811817744,345.025251,19905.453612,441.63232128,25249.18415756992,11592.8484336,94684.44059088721,94357.0111558065
61,5.083333333333333,6,1,1658.8564236155612,96343.29701450276,8000,738.9715764168783,406.4882090981562,121613.97936212813,28386.020637871872,45077.26616142958,26691.24552355731,165885.64236155612,15885.642361556122,-15885.642361556122,168924.36288960002,331.7712847231123,19268.659402900554,351.92575602000005,20257.37936802,442.36171296414966,25691.54587053407,11611.994965308928,96343.29701450276,95635.18276876475
62,5.166666666666667,6,2,1661.596159867375,98004.89317437014,8000,738.9715764168783,405.37993120709376,121280.38771691834,28719.61228308166,45816.23773784645,27096.625454764406,166159.6159867375,16159.61598673751,-16159.61598673751,168924.36288960002,332.319231973475,19600.978634874027,351.92575602000005,20609.305124040002,443.09230929796666,26134.63817983204,11631.173119071627,98004.89317437014,96913.1045258446
63,5.25,6,3,1664.3404210163542,99669.2335953865,8000,738.9715764168783,404.2679590563945,120945.68409955785,29054.315900442147,46555.20931426333,27500.8934138208,166434.04210163542,16434.042101635423,-16434.042101635423,168924.36288960002,332.8680842032708,19933.8467190773,351.92575602000005,20961.23088006,443.8241122710278,26578.462292103068,11650.38294711448,99669.2335953865,98190.77415054022
64,5.333333333333333,6,4,1667.089214535735,101336.32280992223,8000,738.9715764168783,403.1522803318595,120609.86480347284,29390.13519652716,47294.18089068021,27904.045694152657,166708.92145357348,16708.92145357348,-16708.92145357348,168924.36288960002,333.41784290714696,20267.264561984448,351.92575602000005,21313.156636080002,444.557123876196,27023.019415979263,11669.624501750142,101336.32280992223,99468.18935637304
65,5.416666666666667,6,5,1669.842547911095,103006.16535783332,8000,738.9715764168783,402.0328826782428,120272.92610973421,29727.07389026579,48033.15246709709,28306.0785768309,166984.2547911095,16984.254791109503,-16984.254791109503,168924.36288960002,333.968509582219,20601.233071566665,351.92575602000005,21665.0823921,445.29134610962535,27468.310762088888,11688.897835377664,103006.16535783332,100745.34784685461
66,5.5,6,6,1672.6004286403754,104678.7657864737,8000,738.9715764168783,400.90975369911405,119934.86428701645,30065.135712983552,48772.12404351397,28706.988330530014,167260.04286403756,17260.04286403756,-17260.04286403756,168924.36288960002,334.5200857280751,20935.75315729474,351.92575602000005,22017.00814812,446.0267809707668,27914.337543059653,11708.203000482628,104678.7657864737,102022.24731544948
67,5.583333333333333,6,7,1675.3628642339017,106354.1286507076,8000,738.9715764168783,399.7828809567215,119595.67559155628,30404.324408443717,49511.09561993084,29106.771211486735,167536.28642339018,17536.28642339018,-17536.28642339018,168924.36288960002,335.07257284678036,21270.82573014152,351.92575602000005,22368.93390414,446.76343046237383,28361.10097352203,11727.540049637311,106354.1286507076,103298.88544553742
68,5.666666666666667,6,8,1678.129862214402,108032.25851292201,8000,738.9715764168783,398.6522519718543,119255.35626711126,30744.64373288874,50250.06719634772,29505.423463458592,167812.9862214402,17812.986221440195,-17812.986221440195,168924.36288960002,335.62597244288037,21606.4517025844,351.92575602000005,22720.85966016,447.5012965905072,28808.602270112537,11746.909035500814,108032.25851292201,104575.25991037615
69,5.75,6,9,1680.9014301170291,109713.15994303903,8000,738.9715764168783,397.5178542237042,118913.90254491808,31086.097455081923,50989.0387727646,29902.941317682296,168090.14301170292,18090.143011702923,-18090.143011702923,168924.36288960002,336.1802860234058,21942.631988607805,351.92575602000005,23072.785416180002,448.2403813645411,29256.842651477076,11766.310010819205,109713.15994303903,105851.36837306347
70,5.833333333333333,6,10,1683.6775754893813,111396.83751852842,8000,738.9715764168783,396.37967514972695,118571.31064365093,31428.689356349074,51728.01034918148,30299.32099283202,168367.75754893813,18367.757548938127,-18367.757548938127,168924.36288960002,336.73551509787626,22279.367503705682,351.92575602000005,23424.7111722,448.98068679716835,29705.823338274244,11785.74302842567,111396.83751852842,107127.20848649948
71,5.916666666666667,6,11,1686.4583058915216,113083.29582441994,8000,738.9715764168783,395.23770214550314,118227.57676937955,31772.42323062045,52466.98192559836,30694.558694977524,168645.83058915217,18645.830589152174,-18645.830589152174,168924.36288960002,337.2916611783043,22616.65916488399,351.92575602000005,23776.636928220003,449.7222149044058,30155.54555317865,11805.208141240651,113083.29582441994,108402.77789334864
72,6,6,12,1689.243628896,114772.53945331594,8000,738.9715764168783,394.0919225645985,117882.69711552726,32117.302884472738,53205.95350201524,31088.650617542124,168924.36288960002,18924.362889600015,-18924.362889600015,168924.36288960002,337.84872577920004,22954.507890663186,351.92575602000005,24128.56268424,450.46496770560003,30606.01052088425,11824.705402272002,114772.53945331594,109678.07422600154
73,6.083333333333333,7,1,1692.0335520878725,116464.57300540381,8000,738.9715764168783,392.94232371842423,117536.6678628288,32463.332137171194,53944.92507843211,31481.592941260547,169203.35520878725,19203.355208787252,-19203.355208787252,172302.85014739202,338.4067104175745,23292.914601080764,358.96427114040006,24487.526955380403,451.2089472234327,31057.219468107683,11844.23486461511,116464.57300540381,110960.13362165724
74,6.166666666666667,7,2,1694.8280830647225,118159.40108846853,8000,738.9715764168783,391.78889287609604,117189.48517928802,32810.51482071198,54683.89665484899,31873.381834136646,169482.80830647226,19482.80830647226,-19482.80830647226,172302.85014739202,338.96561661294453,23631.880217693706,358.96427114040006,24846.4912265208,451.954155483926,31509.17362359161,11863.796581453056,118159.40108846853,112241.91517692356
75,6.25,7,3,1697.6272294366813,119857.02831790522,8000,738.9715764168783,390.6316172642934,116841.14522013544,33158.85477986456,55422.86823126587,32264.013451400937,169762.72294366814,19762.722943668137,-19762.722943668137,172302.85014739202,339.5254458873363,23971.405663581045,358.96427114040006,25205.4554976612,452.70059451644835,31961.874218108056,11883.390606056768,119857.02831790522,113523.41649313987
76,6.333333333333333,7,4,1700.4309988264497,121557.45931673166,8000,738.9715764168783,389.47048406711815,116491.64412778568,33508.35587221432,56161.83980768275,32653.483935468055,170043.09988264498,20043.09988264498,-20043.09988264498,172302.85014739202,340.0861997652899,24311.49186334633,358.96427114040006,25564.419768801603,453.44826635371993,32415.322484461776,11903.016991785147,121557.45931673166,114804.63516121793
