month_number,years,year_number,month_in_year,monthly_rent,cumulative_rent,cumulative_buying_costs,monthly_payment,monthly_interest,cumulative_principal_remaining,cumulative_equity,cumulative_payment,cumulative_interest,house_value,cumulative_appreciation,cumulative_depreceation,house_value_yearly,monthly_utilities,cumulative_utilities,monthly_property_tax,cumulative_property_tax,monthly_maintenance,cumulative_maintenance,cumulative_selling_costs,cumulative_rent_cost,cumulative_home_cost
1,0.08333333333333333,1,1,1502.4773719528803,1502.4773719528803,8000,738.9715764168783,466.6666666666667,139727.6950902498,10272.304909750208,738.9715764168783,466.6666666666667,150247.73719528803,247.73719528803485,-247.73719528803485,153e3,300.4954743905761,300.4954743905761,318.75,318.75,400.6606325207681,400.6606325207681,10517.341603670162,1502.4773719528803,19756.177181960138
2,0.16666666666666666,1,2,1504.9588354869559,3007.436207439836,8000,738.9715764168783,465.758983634166,139454.4824974671,10545.517502532894,1477.9431528337566,932.4256503008327,150495.8835486956,495.8835486955941,-495.8835486955941,153e3,300.9917670973912,601.4872414879673,318.75,637.5,401.3223561298549,801.9829886506229,10534.711848408691,3007.436207439836,21012.22418015252
3,0.25,1,3,1507.4443973598056,4514.880604799642,8000,738.9715764168783,464.84827499155705,139180.3591960418,10819.640803958202,2216.914729250635,1397.2739252923898,150744.43973598056,744.4397359805589,-744.4397359805589,153e3,301.4888794719611,902.9761209599284,318.75,956.25,401.9851726292815,1203.9681612799045,10552.11078151864,4514.880604799642,22268.1392530703
4,0.3333333333333333,1,4,1509.9340643401695,6024.8146691398115,8000,738.9715764168783,463.9345306534727,138905.3221502784,11094.6778497216,2955.886305667513,1861.2084559458624,150993.40643401694,993.4064340169425,-993.4064340169425,153e3,301.9868128680339,1204.9629338279624,318.75,1275,402.6490838240452,1606.6172451039497,10569.538450381186,6024.8146691398115,23523.92065124202
5,0.4166666666666667,1,5,1512.427843207966,7537.242512347777,8000,738.9715764168783,463.017740500928,138629.36831436245,11370.631685637549,3694.8578820843913,2324.2261964467903,151242.78432079658,1242.784320796578,-1242.784320796578,153e3,302.48556864159315,1507.4485024695555,318.75,1593.75,403.3140915221242,2009.931336626074,10586.99490245576,7537.242512347777,24779.566617201606
6,0.5,1,6,1514.9257407543118,9052.168253102089,8000,738.9715764168783,462.0978943812082,138352.4946323268,11647.505367673206,4433.82945850127,2786.3240908279986,151492.57407543118,1492.5740754311846,-1492.5740754311846,153e3,302.98514815086236,1810.4336506204177,318.75,1912.5,403.9801975344831,2413.911534160557,10604.480185280183,9052.168253102089,26035.07538545797
7,0.5833333333333334,1,7,1517.4277637815392,10569.596016883628,8000,738.9715764168783,461.174982107756,138074.6980380177,11925.301961982303,5172.801034918148,3247.4990729357546,151742.7763781539,1742.7763781539106,-1742.7763781539106,153e3,303.48555275630787,2113.919203376726,318.75,2231.25,404.6474036750771,2818.558937835634,10621.994346470774,10569.596016883628,27290.44518246498
8,0.6666666666666666,1,8,1519.9339191032152,12089.529935986844,8000,738.9715764168783,460.248993460059,137795.9754550609,12204.024544939108,5911.772611335026,3707.7480663958136,151993.39191032152,1993.3919103215158,-1993.3919103215158,153e3,303.98678382064304,2417.9059871973686,318.75,2550,405.3157117608574,3223.8746495964915,10639.537433722506,12089.529935986844,28545.674226590665
9,0.75,1,9,1522.4442135441604,13611.974149531005,8000,738.9715764168783,459.31991818353634,137516.32379682755,12483.67620317245,6650.744187751905,4167.06798457935,152244.42135441603,2244.42135441603,-2244.42135441603,153e3,304.48884270883207,2722.394829906201,318.75,2868.75,405.9851236117761,3629.8597732082676,10657.109494809121,13611.974149531005,29800.760728086905
10,0.8333333333333334,1,10,1524.9586539404665,15136.93280347147,8000,738.9715764168783,458.3877459894252,137235.7399664001,12764.260033599887,7389.715764168783,4625.455730568775,152495.86539404665,2495.8653940466465,-2495.8653940466465,153e3,304.9917307880933,3027.386560694294,318.75,3187.5,406.6556410507911,4036.5154142590586,10674.710577583266,15136.93280347147,31055.702889058746
11,0.9166666666666666,1,11,1527.4772471395158,16664.410050610986,8000,738.9715764168783,457.45246655466707,136954.22085653793,13045.779143462074,8128.687340585661,5082.908197123443,152747.72471395158,2747.724713951582,-2747.724713951582,153e3,305.49544942790317,3332.8820101221972,318.75,3506.25,407.3272659038709,4443.842680162929,10692.340729976611,16664.410050610986,32310.498903433596
12,1,1,12,1530,18194.410050610986,8000,738.9715764168783,456.5140695217931,136671.76334964286,13328.23665035714,8867.65891700254,5539.422266645235,153e3,3e3,-3e3,153e3,306,3638.8820101221972,318.75,3825,408,4851.842680162929,10710,18194.410050610986,33565.14695693036
13,1.0833333333333333,2,1,1532.526919391938,19726.936970002924,8000,738.9715764168783,455.5725444988096,136388.3643177248,13611.635682275199,9606.630493419418,5994.994811144045,153252.69193919378,3252.6919391937845,-3252.6919391937845,156060,306.5053838783876,3945.3873940005847,325.125,4150.125,408.6738451711835,5260.516525334113,10727.688435743565,19726.936970002924,34826.02022702852
14,1.1666666666666667,2,2,1535.058012196695,21261.99498219962,8000,738.9715764168783,454.6278810590827,136104.020622367,13895.97937763299,10345.602069836295,6449.622692203127,153505.8012196695,3505.801219669491,-3505.801219669491,156060,307.01160243933896,4252.398996439923,325.125,4475.25,409.348803252452,5669.865328586565,10745.406085376866,21261.99498219962,36086.74188293699
15,1.25,2,3,1537.593285307002,22799.58826750662,8000,738.9715764168783,453.6800687412234,135818.72911469138,14181.270885308622,11084.573646253175,6903.302760944351,153759.32853070018,3759.328530700179,-3759.328530700179,156060,307.5186570614004,4559.917653501324,325.125,4800.375,410.02487608186715,6079.8902046684325,10763.152997149013,22799.58826750662,37347.31008556294
16,1.3333333333333333,2,4,1540.1327456269728,24339.721013133592,8000,738.9715764168783,452.7290970489713,135532.4866353235,14467.513364676503,11823.545222670053,7356.031857993323,154013.27456269728,4013.2745626972755,-4013.2745626972755,156060,308.0265491253946,4867.944202626719,325.125,5125.5,410.7020655005261,6490.592270168959,10780.929219388809,24339.721013133592,38607.722987480534
17,1.4166666666666667,2,5,1542.6764000721253,25882.39741320572,8000,738.9715764168783,451.77495545107837,135245.2900143577,14754.709985642286,12562.51679908693,7807.806813444401,154267.64000721253,4267.640007212525,-4267.640007212525,156060,308.5352800144251,5176.4794826411435,325.125,5450.625,411.3803733525668,6901.972643521525,10798.734800504877,25882.39741320572,39867.97873289942
18,1.5,2,6,1545.224255569398,27427.62166877512,8000,738.9715764168783,450.8176333811924,134957.13607132205,15042.86392867795,13301.48837550381,8258.624446825594,154522.4255569398,4522.425556939794,-4522.425556939794,156060,309.0448511138796,5485.524333755024,325.125,5775.75,412.0598014851728,7314.032445006698,10816.569788985786,27427.62166877512,41128.07545763331
19,1.5833333333333333,2,7,1547.77631905717,28975.397987832286,8000,738.9715764168783,449.8571202377402,134668.02161514293,15331.978384857066,14040.459951920688,8708.481567063332,154777.63190571702,4777.6319057170185,-4777.6319057170185,156060,309.55526381143403,5795.079597566458,325.125,6100.875,412.7403517485787,7726.772796755276,10834.43423340019,28975.397987832286,42388.01128906824
20,1.6666666666666667,2,8,1550.3325974852796,30525.730585317568,8000,738.9715764168783,448.8934053838098,134377.94344410987,15622.056555890129,14779.431528337565,9157.374972447144,155033.25974852795,5033.259748527955,-5033.259748527955,156060,310.0665194970559,6105.146117063513,325.125,6426,413.4220259960745,8140.194822751351,10852.328182396956,30525.730585317568,43647.78434613101
21,1.75,2,9,1552.8930978150436,32078.62368313261,8000,738.9715764168783,447.9264781470329,134086.89834584005,15913.101654159953,15518.403104754445,9605.301450594176,155289.30978150436,5289.309781504358,-5289.309781504358,156060,310.5786195630087,6415.724736626522,325.125,6751.125,414.1048260840116,8554.299648835362,10870.251684705305,32078.62368313261,44907.392739257004
22,1.8333333333333333,2,10,1555.457827019276,33634.08151015189,8000,738.9715764168783,446.9563278194669,133794.88309724265,16205.116902757349,16257.374681171323,10052.257778413643,155545.7827019276,5545.7827019275865,-5545.7827019275865,156060,311.0915654038552,6726.816302030377,325.125,7076.25,414.78875387180693,8969.08840270717,10888.20478913493,33634.08151015189,46166.83457035854
23,1.9166666666666667,2,11,1558.0267920823064,35192.10830223419,8000,738.9715764168783,445.9829436574755,133501.89446448325,16498.10553551675,16996.3462575882,10498.24072207112,155802.67920823063,5802.679208230635,-5802.679208230635,156060,311.6053584164613,7038.421660446838,325.125,7401.375,415.4738112219484,9384.562213929117,10906.187544576143,35192.10830223419,47426.10793279258
24,2,2,12,1560.6,36752.70830223419,8000,738.9715764168783,445.0063148816109,133207.929202948,16792.070797052,17735.31783400508,10943.24703695273,156060,6060,-6060,156060,312.12,7350.541660446838,325.125,7726.5,416.15999999999997,9800.722213929119,10924.2,36752.70830223419,48685.210911328686
25,2.0833333333333335,3,1,1563.1774577797767,38315.88576001397,8000,738.9715764168783,444.02643067649336,132912.98405720762,17087.01594279238,18474.289410421956,11387.273467629222,156317.74577797766,6317.74577797766,-6317.74577797766,159181.2,312.6354915559553,7663.177152002794,331.6275,8058.1275,416.84732207460706,10217.569536003724,10942.242204458436,38315.88576001397,49950.644082116516
