month_number,years,year_number,month_in_year,monthly_rent,cumulative_rent,cumulative_buying_costs,monthly_payment,monthly_interest,cumulative_principal_remaining,cumulative_equity,cumulative_payment,cumulative_interest,house_value,cumulative_appreciation,cumulative_depreceation,house_value_yearly,monthly_utilities,cumulative_utilities,monthly_property_tax,cumulative_property_tax,monthly_maintenance,cumulative_maintenance,cumulative_selling_costs
11,0.9166666666666666,1,11,1527.4772471395158,16664.410050610986,8000,1110.721078865162,778.1206816998786,186416.36321080558,13583.636789194425,12217.931867516783,8634.295078322453,2e5,0,-0,2e5,510,5610,833.3333333333334,9166.666666666668,510,5610,1e4
12,1,1,12,1530,18194.410050610986,8000,1110.721078865162,776.7348467116899,186082.3769786521,13917.623021347914,13328.652946381946,9411.029925034143,2e5,0,-0,2e5,510,6120,833.3333333333334,1e4,510,6120,1e4
13,1.0833333333333333,2,1,1532.526919391938,19726.936970002924,8000,1110.721078865162,775.3432374110504,185746.99913719797,14253.00086280203,14439.374025247107,10186.373162445194,2e5,0,-0,2e5,510,6630,833.3333333333334,10833.333333333334,510,6630,1e4
14,1.1666666666666667,2,2,1535.058012196695,21261.99498219962,8000,1110.721078865162,773.9458297383248,185410.22388807114,14589.776111928863,15550.09510411227,10960.318992183518,2e5,0,-0,2e5,510,7140,833.3333333333334,11666.666666666668,510,7140,1e4
15,1.25,2,3,1537.593285307002,22799.58826750662,8000,1110.721078865162,772.5425995336298,185072.0454087396,14927.954591260408,16660.816182977433,11732.861591717148,2e5,0,-0,2e5,510,7650,833.3333333333334,12500,510,7650,1e4
16,1.3333333333333333,2,4,1540.1327456269728,24339.721013133592,8000,1110.721078865162,771.133522536415,184732.45785241082,15267.542147589178,17771.537261842594,12503.995114253563,2e5,0,-0,2e5,510,8160,833.3333333333334,13333.333333333334,510,8160,1e4
17,1.4166666666666667,2,5,1542.6764000721253,25882.39741320572,8000,1110.721078865162,769.718574385045,184391.4553479307,15608.544652069308,18882.258340707755,13273.713688638607,2e5,0,-0,2e5,510,8670,833.3333333333334,14166.666666666668,510,8670,1e4
18,1.5,2,6,1545.224255569398,27427.62166877512,8000,1110.721078865162,768.2977306163779,184049.0319996819,15950.968000318098,19992.97941957292,14042.011419254985,2e5,0,-0,2e5,510,9180,833.3333333333334,15e3,510,9180,1e4
19,1.5833333333333333,2,7,1547.77631905717,28975.397987832286,8000,1110.721078865162,766.8709666653413,183705.18188748206,16294.81811251794,21103.70049843808,14808.882385920326,2e5,0,-0,2e5,510,9690,833.3333333333334,15833.333333333334,510,9690,1e4
20,1.6666666666666667,2,8,1550.3325974852796,30525.730585317568,8000,1110.721078865162,765.4382578645086,183359.8990664814,16640.10093351861,22214.42157730324,15574.320643784835,2e5,0,-0,2e5,510,10200,833.3333333333334,16666.666666666668,510,10200,1e4
21,1.75,2,9,1552.8930978150436,32078.62368313261,8000,1110.721078865162,763.9995794436725,183013.1775670599,16986.8224329401,23325.142656168406,16338.320223228508,2e5,0,-0,2e5,510,10710,833.3333333333334,17500,510,10710,1e4
22,1.8333333333333333,2,10,1555.457827019276,33634.08151015189,8000,1110.721078865162,762.5549065294163,182665.01139472413,17334.988605275867,24435.863735033567,17100.875129757926,2e5,0,-0,2e5,510,11220,833.3333333333334,18333.333333333336,510,11220,1e4
23,1.9166666666666667,2,11,1558.0267920823064,35192.10830223419,8000,1110.721078865162,761.1042141446839,182315.39453000366,17684.605469996342,25546.584813898728,17861.979343902607,2e5,0,-0,2e5,510,11730,833.3333333333334,19166.666666666668,510,11730,1e4
24,2,2,12,1560.6,36752.70830223419,8000,1110.721078865162,759.6474772083486,181964.32092834683,18035.67907165317,26657.305892763892,18621.626821110956,2e5,0,-0,2e5,510,12240,833.3333333333334,2e4,510,12240,1e4
25,2.0833333333333335,3,1,1563.1774577797767,38315.88576001397,8000,1110.721078865162,758.1846705347784,181611.78452001643,18388.21547998357,27768.026971629053,19379.811491645734,2e5,0,-0,2e5,510,12750,833.3333333333334,20833.333333333336,510,12750,1e4
26,2.1666666666666665,3,2,1565.7591724406288,39881.6449324546,8000,1110.721078865162,756.7157688334017,181257.77920998467,18742.22079001533,28878.748050494214,20136.527260479135,2e5,0,-0,2e5,510,13260,833.3333333333334,21666.666666666668,510,13260,1e4
27,2.25,3,3,1568.3451510131417,41449.99008346774,8000,1110.721078865162,755.2407467082694,180902.29887782776,19097.701122172235,29989.469129359375,20891.768007187406,2e5,0,-0,2e5,510,13770,833.3333333333334,22500,510,13770,1e4
28,2.3333333333333335,3,4,1570.9354005395123,43020.92548400725,8000,1110.721078865162,753.7595786576156,180545.33737762022,19454.66262237978,31100.19020822454,21645.527585845022,2e5,0,-0,2e5,510,14280,833.3333333333334,23333.333333333336,510,14280,1e4
29,2.4166666666666665,3,5,1573.529928073568,44594.45541208082,8000,1110.721078865162,752.2722390734176,180186.88853782846,19813.11146217154,32210.9112870897,22397.79982491844,2e5,0,-0,2e5,510,14790,833.3333333333334,24166.666666666668,510,14790,1e4
30,2.5,3,6,1576.128740680786,46170.58415276161,8000,1110.721078865162,750.7787022409519,179826.94616120425,20173.05383879575,33321.632365954865,23148.578527159392,2e5,0,-0,2e5,510,15300,833.3333333333334,25e3,510,15300,1e4
31,2.5833333333333335,3,7,1578.7318454383133,47749.31599819992,8000,1110.721078865162,749.278942338351,179465.50402467744,20534.495975322556,34432.35344482002,23897.857469497743,2e5,0,-0,2e5,510,15810,833.3333333333334,25833.333333333336,510,15810,1e4
32,2.6666666666666665,3,8,1581.339249434985,49330.6552476349,8000,1110.721078865162,747.772933436156,179102.55587924842,20897.444120751577,35543.07452368519,24645.630402933897,2e5,0,-0,2e5,510,16320,833.3333333333334,26666.666666666668,510,16320,1e4
33,2.75,3,9,1583.9509597713445,50914.60620740625,8000,1110.721078865162,746.2606494968684,178738.09544988011,21261.904550119885,36653.79560255035,25391.891052430765,2e5,0,-0,2e5,510,16830,833.3333333333334,27500,510,16830,1e4
34,2.8333333333333335,3,10,1586.5669835596614,52501.173190965914,8000,1110.721078865162,744.7420643745005,178372.11643538944,21627.883564610558,37764.51668141551,26136.633116805267,2e5,0,-0,2e5,510,17340,833.3333333333334,28333.333333333336,510,17340,1e4
35,2.9166666666666665,3,11,1589.1873279239524,54090.360518889865,8000,1110.721078865162,743.2171518141226,178004.61250833838,21995.38749166162,38875.237760280674,26879.85026861939,2e5,0,-0,2e5,510,17850,833.3333333333334,29166.666666666668,510,17850,1e4
36,3,3,12,1591.8120000000001,55682.17251888986,8000,1110.721078865162,741.68588545141,177635.57731492462,22364.422685075377,39985.95883914584,27621.5361540708,2e5,0,-0,2e5,510,18360,833.3333333333334,3e4,510,18360,1e4
37,3.0833333333333335,4,1,1594.4410069353723,57276.61352582523,8000,1110.721078865162,740.1482388121859,177265.00447487165,22734.995525128354,41096.679918010996,28361.684392882984,2e5,0,-0,2e5,510,18870,833.3333333333334,30833.333333333336,510,18870,1e4
38,3.1666666666666665,4,2,1597.0743558894417,58873.68788171468,8000,1110.721078865162,738.6041853119652,176892.88758131844,23107.112418681558,42207.40099687616,29100.28857819495,2e5,0,-0,2e5,510,19380,833.3333333333334,31666.666666666668,510,19380,1e4
39,3.25,4,3,1599.7120540334047,60473.39993574808,8000,1110.721078865162,737.0536982554935,176519.22020070878,23480.779799291224,43318.122075741325,29837.342276450443,2e5,0,-0,2e5,510,19890,833.3333333333334,32500,510,19890,1e4
40,3.3333333333333335,4,4,1602.3541085503027,62075.75404429839,8000,1110.721078865162,735.4967508362865,176143.9958726799,23856.004127320106,44428.84315460648,30572.839027286733,2e5,0,-0,2e5,510,20400,833.3333333333334,33333.333333333336,510,20400,1e4
41,3.4166666666666665,4,5,1605.0005266350393,63680.75457093342,8000,1110.721078865162,733.9333161361662,175767.20810995088,24232.79189004912,45539.56423347165,31306.772343422897,2e5,0,-0,2e5,510,20910,833.3333333333334,34166.66666666667,510,20910,1e4
42,3.5,4,6,1607.6513154944016,65288.40588642783,8000,1110.721078865162,732.3633671247953,175388.85039821052,24611.149601789482,46650.28531233681,32039.135710547693,2e5,0,-0,2e5,510,21420,833.3333333333334,35e3,510,21420,1e4
43,3.5833333333333335,4,7,1610.3064823470797,66898.71236877491,8000,1110.721078865162,730.7868766592105,175008.91619600455,24991.083803995454,47761.00639120197,32769.9225872069,2e5,0,-0,2e5,510,21930,833.3333333333334,35833.333333333336,510,21930,1e4
44,3.6666666666666665,4,8,1612.966034423685,68511.67840319859,8000,1110.721078865162,729.2038174833523,174627.39893462273,25372.60106537727,48871.72747006713,33499.12640469026,2e5,0,-0,2e5,510,22440,833.3333333333334,36666.66666666667,510,22440,1e4
45,3.75,4,9,1615.6299789667712,70127.30838216536,8000,1110.721078865162,727.6141622275948,174244.29201798516,25755.707982014836,49982.4485489323,34226.74056691785,2e5,0,-0,2e5,510,22950,833.3333333333334,37500,510,22950,1e4
46,3.8333333333333335,4,10,1618.2983232308547,71745.60670539622,8000,1110.721078865162,726.0178834082715,173859.58882252825,26140.411177471746,51093.169627797455,34952.758450326124,2e5,0,-0,2e5,510,23460,833.3333333333334,38333.333333333336,510,23460,1e4
47,3.9166666666666665,4,11,1620.9710744824315,73366.57777987864,8000,1110.721078865162,724.414953427201,173473.2826970903,26526.717302909703,52203.89070666262,35677.173403753324,2e5,0,-0,2e5,510,23970,833.3333333333334,39166.66666666667,510,23970,1e4
48,4,4,12,1623.64824,74990.22601987865,8000,1110.721078865162,722.8053445712096,173085.36696279634,26914.63303720366,53314.611785527784,36399.97874832453,2e5,0,-0,2e5,510,24480,833.3333333333334,4e4,510,24480,1e4
49,4.083333333333333,5,1,1626.3298270740797,76616.55584695273,8000,1110.721078865162,721.1890290116514,172695.8349129428,27304.16508705719,54425.33286439294,37121.16777733618,2e5,0,-0,2e5,510,24990,833.3333333333334,40833.333333333336,510,24990,1e4
50,4.166666666666667,5,2,1629.0158430072302,78245.57168995996,8000,1110.721078865162,719.5659788039284,172304.67981288157,27695.32018711843,55536.053943258106,37840.733756140115,2e5,0,-0,2e5,510,25500,833.3333333333334,41666.66666666667,510,25500,1e4
51,4.25,5,3,1631.7062951140729,79877.27798507403,8000,1110.721078865162,717.9361658870065,171911.89489990342,28088.10510009658,56646.775022123264,38558.66992202712,2e5,0,-0,2e5,510,26010,833.3333333333334,42500,510,26010,1e4
52,4.333333333333333,5,4,1634.4011907213087,81511.67917579533,8000,1110.721078865162,716.299562082931,171517.47338312116,28482.526616878837,57757.49610098843,39274.96948411005,2e5,0,-0,2e5,510,26520,833.3333333333334,43333.333333333336,510,26520,1e4
53,4.416666666666667,5,5,1637.1005371677402,83148.77971296308,8000,1110.721078865162,714.6561390963382,171121.40844335232,28878.591556647676,58868.21717985359,39989.62562320639,2e5,0,-0,2e5,510,27030,833.3333333333334,44166.66666666667,510,27030,1e4
54,4.5,5,6,1639.8043418042896,84788.58405476737,8000,1110.721078865162,713.005868513968,170723.69323300113,29276.306766998867,59978.93825871875,40702.631491720356,2e5,0,-0,2e5,510,27540,833.3333333333334,45e3,510,27540,1e4
55,4.583333333333333,5,7,1642.5126119940212,86431.09666676138,8000,1110.721078865162,711.3487218041714,170324.32087594015,29675.679124059854,61089.659337583915,41413.980213524526,2e5,0,-0,2e5,510,28050,833.3333333333334,45833.333333333336,510,28050,1e4
56,4.666666666666667,5,8,1645.2253551121585,88076.32202187355,8000,1110.721078865162,709.6846703164173,169923.28446739138,30076.71553260862,62200.38041644908,42123.664883840946,2e5,0,-0,2e5,510,28560,833.3333333333334,46666.66666666667,510,28560,1e4
57,4.75,5,9,1647.942578546107,89724.26460041966,8000,1110.721078865162,708.0136852807974,169520.577073807,30479.422926192987,63311.10149531424,42831.678569121745,2e5,0,-0,2e5,510,29070,833.3333333333334,47500,510,29070,1e4
58,4.833333333333333,5,10,1650.6642896954716,91374.92889011513,8000,1110.721078865162,706.3357378075292,169116.19173274937,30883.808267250628,64421.8225741794,43538.01430692927,2e5,0,-0,2e5,510,29580,833.3333333333334,48333.333333333336,510,29580,1e4
